"player","age","nationality","position","team","top5","minutes_90s","Spinta","Costruttore","Interventista","Lanci_Lunghi","Falloso"
"Gastón Álvarez",23,"uy URU","DF","Getafe","True",28.2,-0.281679313993999,-1.29679360727266,0.592047022543866,0.192057182578774,1.09754704709079
"Julian Araujo",21,"mx MEX","DF","Las Palmas","True",16.2,0.578709777141236,-0.01080643223489,0.472434860052898,-0.620458184708433,-0.757383526930134
"Ronald Araújo",24,"uy URU","DF","Barcelona","True",22.2,-1.03376978939585,1.09929384814268,-1.07646643263609,0.942972956689606,0.623848500446105
"Jesús Areso",24,"es ESP","DF","Osasuna","True",29.6,1.50640948264623,-0.0356334264546917,-0.76398924276087,-0.206636760277999,-1.06625552304651
"César Azpilicueta",33,"es ESP","DF","Atlético Madrid","True",15.8,0.252938623387534,0.999987928061632,-0.64756431365984,-0.0394510361448732,1.1862488340225
"Loïc Bade",23,"fr FRA","DF","Sevilla","True",25.3,-0.90718190663505,-0.238513213056702,0.606806068044988,0.407864109010962,0.382107586674307
"Iván Balliu",31,"al ALB","DF","Rayo Vallecano","True",31.9,0.397751998538104,-0.333457277757271,-0.666638283545856,-0.121944878397583,0.145472909618387
"Héctor Bellerín",28,"es ESP","DF","Betis","True",19,0.67963165873379,-0.0108764874405508,1.35811830190189,-0.538008804686858,-0.456901682092414
"Yuri Berchiche",33,"es ESP","DF","Athletic Club","True",21.4,0.482935003088876,0.885821080199145,-0.256725577904217,-0.172928240480923,0.351434408419254
"Daley Blind",33,"nl NED","DF","Girona","True",33,-0.544522384320917,1.99389906031822,-0.257335791011701,1.02687799039606,-0.693040488537734
"Juan Brandáriz",24,"es ESP","DF","Almería","True",27,-0.677042339040919,-1.11308021480089,-0.873916136631697,-0.970719425213509,-0.142193703814739
"João Cancelo",29,"pt POR","DF","Barcelona","True",27.8,1.67926353364909,1.02391611895026,0.358542891285467,0.131511279881357,-0.137734162667935
"Isaac Carcelen",30,"es ESP","DF","Cádiz","True",29,0.194706560954892,-0.886706352155782,-0.199979826704713,-0.34984313836078,-1.01822935621487
"Sergi Cardona",24,"es ESP","DF","Las Palmas","True",31.3,1.08550518765227,0.947203184764808,1.81707733367003,-0.407350351686822,0.918374335794056
"Carmona",21,"es ESP","DF,MF","Getafe","True",14.6,0.847343624707992,-0.905171209758338,0.257422987000385,-0.570518324379924,2.00964041761499
"Dani Carvajal",31,"es ESP","DF","Real Madrid","True",24.1,0.971397811716165,-0.30285324587233,-0.0285197503587695,-1.50361427907774,-0.675436881860045
"Catena",28,"es ESP","DF","Osasuna","True",28.2,-1.05282199375236,-0.265144895308857,-0.45110381751553,1.39152932364904,1.71025333943862
"Pep Chavarría",25,"es ESP","DF,MF","Rayo Vallecano","True",13,1.53619326179402,0.824364987021094,-0.691425203370976,0.162900542393095,-1.44591517292596
"Andreas Christensen",27,"dk DEN","DF,MF","Barcelona","True",22,-0.655071818279154,0.992353750158824,-0.483748393086683,-0.437542102843055,0.444340996922684
"Víctor Chust",23,"es ESP","DF","Cádiz","True",20.7,-0.865173028127918,0.194975548116182,-0.0549482923081558,1.14776383937977,-0.272645230845656
"Saúl Coco",24,"gq EQG","DF","Las Palmas","True",25.5,-1.0630321922934,-0.437717459100771,-1.15201073031252,-1.26310588958808,0.0480966914436965
"Thierry Correia",24,"pt POR","DF","Valencia","True",23.9,0.309499142379248,0.283366156467476,0.574204700901129,0.332897000188409,1.13283921783029
"Jaume Costa",35,"es ESP","DF","Mallorca","True",18.7,0.997547336686052,-0.116314708176388,-0.30612783604565,0.0253360684520761,0.0938009470862811
"Yan Couto",21,"br BRA","DF,FW","Girona","True",24.9,2.23393153341929,-0.229025444689199,-0.431389468386748,-1.06180068153968,-0.450596302964668
"Juan Cruz Armada",31,"es ESP","DF","Osasuna","True",18.5,-0.276852407750973,-0.233121349707502,-0.395399004511014,0.187352371835642,0.026513803335793
"Jorge Cuenca",23,"es ESP","DF","Villarreal","True",21.8,-0.558274544694707,-0.757557037077145,-0.304414721028563,0.0643409592911098,0.56694773190477
"Djené",31,"tg TOG","DF,MF","Getafe","True",27.6,-0.372501700580434,-0.895235854303253,-0.92294996556013,-0.0565132605310068,2.01265721639591
"Carlos Dominguez",22,"es ESP","DF","Celta Vigo","True",17.6,-0.629043738195545,-0.235938651029612,0.667836767959363,0.469393216089265,-0.0790290749948379
"Rubén Duarte",27,"es ESP","DF","Alavés","True",20.9,-0.0744803469987827,-0.326805173969696,-0.212866592036874,1.5016002816028,1.03321586832815
"Alfonso Espino",31,"uy URU","DF","Rayo Vallecano","True",27.9,0.64442539976863,0.0116888130524562,1.68095632358817,-0.0324608447613305,1.01272263699815
"Fali",29,"es ESP","DF","Cádiz","True",28.3,-0.742910472095918,-0.815472134816286,-0.42285716507812,1.40694086207532,0.317178401450385
"Kiko Femenía",32,"es ESP","DF","Villarreal","True",17.6,0.333858236340839,0.884976138511314,0.355764254388503,-0.0867171105830187,0.731048412223593
"Dimitri Foulquier",30,"fr FRA","DF,MF","Valencia","True",20.5,0.727132911287336,-0.559796128592161,-0.606808975187928,-0.601105649246688,-0.232916926604985
"David García",29,"es ESP","DF","Osasuna","True",25.9,-0.84120178003739,0.294636714937099,-0.78577426800544,0.72842766266014,0.775676133081572
"Fran Garcia",23,"es ESP","DF","Real Madrid","True",15.5,1.73291251946489,0.389312851110561,0.171012666155302,-1.36795571264795,-1.71850191212691
"Édgar González",26,"es ESP","DF,MF","Almería","True",28,-0.83285666870547,-0.802078342877669,0.222190116320582,-0.483127190154305,0.526027605000572
"Giovanni González",28,"uy URU","DF","Mallorca","True",27.4,0.448698063433444,-0.190760795246063,1.72446137280397,0.123961490454901,0.447439344505974
"Andoni Gorosabel",26,"es ESP","DF","Alavés","True",31.7,0.811551165812307,-0.49525114693113,0.805759265886942,-1.37579351789974,-0.584721164171139
"Nemanja Gudelj",31,"rs SRB","DF,MF","Sevilla","True",19.4,-0.652982155921298,0.146432897382179,0.00248667573746557,0.142303279978994,1.458708751431
"Miguel Gutiérrez",22,"es ESP","DF","Girona","True",33.7,1.13200082700451,0.294135324424587,-1.08808744058673,-1.00555622147832,-1.20597026131197
"Mario Hermoso",28,"es ESP","DF","Atlético Madrid","True",28.4,0.0718048001599752,1.31666563948281,0.163233309138393,1.16713888491658,0.249231560209492
"Javi Hernández",25,"es ESP","DF","Cádiz","True",27.9,0.280327468084035,-0.170227886837823,-0.0767249318820099,0.593069322808783,1.03180930352959
"Iglesias",25,"es ESP","DF,FW","Getafe","True",15.7,0.322450612159239,-0.538250124809667,0.597781195867716,2.1603046050758,-0.166631894000077
"Jules Koundé",24,"fr FRA","DF","Barcelona","True",32.2,0.0431737801998513,2.20841938553545,-0.173166943911503,1.01692412530651,-0.874979019204005
"Toni Lato",25,"es ESP","DF","Mallorca","True",17.2,1.05476470893533,-0.853234170678245,-0.263443540747674,-0.848959430238094,-0.493768795651559
"Robin Le Normand",26,"es ESP","DF","Real Sociedad","True",27.4,-1.10540077734735,-0.0325927682981679,-0.627381561653989,0.103943512074807,1.24822920298529
"Florian Lejeune",32,"fr FRA","DF","Rayo Vallecano","True",37,-0.888719179655189,0.187553833347411,-1.059062396108,1.95090438760052,-0.294449395316489
"Iñigo Lekue",30,"es ESP","DF","Athletic Club","True",22.2,0.275310969605585,0.202120660779295,0.914696321656862,0.0583513402014796,-0.898636854589345
